Date,Open,High,Low,Close,Volume
13-Apr-16,1.76,1.8,1.76,1.79,67600
14-Apr-16,1.8,2.0,1.78,2.0,450500
15-Apr-16,1.96,2.07,1.95,1.95,166600
18-Apr-16,1.99,2.01,1.95,1.95,46100
19-Apr-16,1.94,2.0,1.94,2.0,46400
20-Apr-16,1.96,1.98,1.9,1.9,120400
21-Apr-16,1.9,1.95,1.9,1.95,83400
22-Apr-16,1.96,1.99,1.9,1.95,266100
25-Apr-16,1.97,2.14,1.97,2.13,653400
26-Apr-16,2.11,2.31,2.04,2.15,495000
27-Apr-16,2.17,2.2,2.02,2.06,150500
28-Apr-16,2.1,2.1,2.06,2.07,72200
29-Apr-16,2.1,2.1,1.92,2.0,183600
02-May-16,2.0,2.1,1.93,2.04,100400
03-May-16,2.04,2.07,1.96,2.04,63200
04-May-16,2.02,2.06,1.95,1.95,79300
05-May-16,1.98,2.05,1.98,2.02,32500
06-May-16,2.2,2.45,2.19,2.4,1594000
09-May-16,2.5,2.58,2.43,2.58,705800
10-May-16,2.53,2.59,2.39,2.52,434300
11-May-16,2.52,2.67,2.52,2.62,477300
12-May-16,2.67,2.68,2.53,2.65,388200
13-May-16,2.65,2.65,2.42,2.48,357100
16-May-16,2.5,2.55,2.43,2.55,245600
17-May-16,2.52,2.54,2.45,2.51,189700
18-May-16,2.48,2.59,2.44,2.58,306400
19-May-16,2.58,2.59,2.51,2.53,108100
20-May-16,2.57,2.58,2.52,2.52,61300
23-May-16,2.55,2.87,2.55,2.83,1039500
24-May-16,2.88,3.07,2.82,2.92,1034200
25-May-16,2.95,3.05,2.93,2.99,671500
26-May-16,3.02,3.13,2.97,3.06,697900
27-May-16,3.12,3.13,2.83,2.87,753700
31-May-16,2.94,3.03,2.82,2.82,914700
01-Jun-16,2.85,2.99,2.78,2.94,866400
02-Jun-16,2.95,2.95,2.85,2.91,337900
03-Jun-16,2.93,2.93,2.75,2.85,446900
06-Jun-16,2.83,2.9,2.75,2.9,472400
07-Jun-16,2.91,3.2,2.86,3.11,1079200
08-Jun-16,3.13,3.29,3.02,3.15,774100
09-Jun-16,3.2,3.2,3.05,3.1,311600
10-Jun-16,3.09,3.1,3.0,3.04,196300
13-Jun-16,3.06,3.09,2.94,3.06,375800
14-Jun-16,3.06,3.06,2.96,2.98,185100
15-Jun-16,2.99,3.2,2.99,3.17,542700
16-Jun-16,3.2,3.2,3.0,3.03,543400
17-Jun-16,3.06,3.08,2.97,3.06,374700
20-Jun-16,3.07,3.18,3.07,3.12,448400
21-Jun-16,3.18,3.18,3.06,3.09,277100
22-Jun-16,3.12,3.37,3.08,3.31,1170200
23-Jun-16,3.38,3.44,3.16,3.2,881500
24-Jun-16,3.07,3.18,2.91,3.07,703100
27-Jun-16,3.05,3.08,2.93,2.95,502500
28-Jun-16,2.95,3.08,2.95,3.07,279400
29-Jun-16,3.1,3.29,3.08,3.28,821200
30-Jun-16,3.3,3.35,3.16,3.28,746500
01-Jul-16,3.3,3.45,3.26,3.37,758100
05-Jul-16,3.4,3.45,3.29,3.39,569900
06-Jul-16,3.4,3.42,3.33,3.37,361500
07-Jul-16,3.39,3.54,3.38,3.49,866100
08-Jul-16,3.5,3.57,3.45,3.55,560800
11-Jul-16,3.6,3.74,3.6,3.69,842400
12-Jul-16,3.75,3.95,3.72,3.93,905500
13-Jul-16,3.99,4.0,3.71,3.83,939700
14-Jul-16,3.8,3.89,3.66,3.7,565800
15-Jul-16,3.68,3.79,3.62,3.74,441000
18-Jul-16,3.7,3.74,3.65,3.67,380700
19-Jul-16,3.67,3.72,3.62,3.68,293600
20-Jul-16,3.68,3.68,3.55,3.65,319300
21-Jul-16,3.65,3.66,3.44,3.47,472500
22-Jul-16,3.46,3.59,3.41,3.57,226100
25-Jul-16,3.54,3.57,3.46,3.48,200100
26-Jul-16,3.48,3.57,3.44,3.5,228200
27-Jul-16,3.51,3.53,3.36,3.42,286900
28-Jul-16,3.42,3.48,3.37,3.38,135600
29-Jul-16,3.31,3.32,3.0,3.04,879000
01-Aug-16,2.92,3.14,2.92,3.08,400900
02-Aug-16,3.06,3.19,3.04,3.07,335600
03-Aug-16,3.03,3.11,2.93,2.97,277500
04-Aug-16,3.32,3.42,2.96,2.98,1095800
05-Aug-16,3.0,3.1,2.98,3.01,221600
08-Aug-16,2.99,3.09,2.98,3.07,193100
09-Aug-16,3.04,3.14,3.0,3.04,461100
10-Aug-16,3.06,3.09,3.0,3.05,146100
11-Aug-16,3.05,3.07,2.93,3.03,381200
12-Aug-16,3.05,3.19,2.93,2.95,323800
15-Aug-16,2.95,3.0,2.92,3.0,220500
16-Aug-16,2.99,3.01,2.95,2.96,176900
17-Aug-16,2.95,3.1,2.93,3.07,245600
18-Aug-16,3.04,3.07,2.96,3.0,138600
19-Aug-16,3.02,3.03,2.95,3.0,155700
22-Aug-16,3.01,3.04,2.95,3.0,127200
23-Aug-16,3.0,3.12,2.99,3.04,215600
24-Aug-16,3.03,3.15,3.02,3.15,367000
25-Aug-16,3.11,3.14,3.07,3.1,133300
26-Aug-16,3.09,3.11,3.02,3.04,148100
29-Aug-16,2.98,3.06,2.98,3.06,106900
30-Aug-16,3.06,3.08,3.02,3.04,83700
31-Aug-16,3.07,3.08,2.95,2.97,124900
01-Sep-16,2.96,3.06,2.93,3.03,191600
02-Sep-16,3.02,3.14,2.97,3.05,179000
06-Sep-16,3.02,3.09,2.97,3.01,100000
07-Sep-16,3.01,3.01,2.9,2.9,166700
08-Sep-16,2.92,2.92,2.67,2.79,411700
09-Sep-16,2.72,2.8,2.65,2.71,213700
12-Sep-16,2.65,2.82,2.65,2.77,204900
13-Sep-16,2.79,2.82,2.71,2.77,78700
14-Sep-16,2.73,2.78,2.68,2.7,100200
15-Sep-16,2.7,2.77,2.66,2.74,60400
16-Sep-16,2.7,2.75,2.56,2.68,244700
19-Sep-16,2.67,2.75,2.56,2.6,198000
20-Sep-16,2.59,2.71,2.55,2.59,130300
21-Sep-16,2.6,2.65,2.54,2.62,67200
22-Sep-16,2.66,2.74,2.58,2.58,48700
23-Sep-16,2.61,2.67,2.6,2.65,97200
26-Sep-16,2.63,2.8,2.62,2.72,161900
27-Sep-16,2.75,2.77,2.68,2.69,34600
28-Sep-16,2.69,2.78,2.67,2.72,44400
29-Sep-16,2.74,2.77,2.66,2.66,51600
30-Sep-16,2.67,2.74,2.67,2.7,59200
03-Oct-16,2.7,2.72,2.65,2.65,41200
04-Oct-16,2.66,2.95,2.66,2.83,539700
05-Oct-16,2.88,2.97,2.87,2.92,225200
06-Oct-16,2.96,3.15,2.92,3.14,670800
07-Oct-16,3.09,3.13,3.01,3.03,454500
10-Oct-16,3.08,3.12,3.02,3.08,117000
11-Oct-16,3.06,3.06,2.84,3.01,323800
12-Oct-16,2.99,3.03,2.87,2.93,146200
13-Oct-16,2.91,2.91,2.8,2.84,102200
14-Oct-16,2.87,2.98,2.85,2.89,114300
17-Oct-16,2.95,2.95,2.85,2.85,46600
18-Oct-16,2.95,2.95,2.85,2.9,80600
19-Oct-16,2.9,2.95,2.85,2.9,43000
20-Oct-16,2.95,2.95,2.8,2.85,157300
21-Oct-16,2.85,2.9,2.85,2.9,34400
24-Oct-16,2.85,2.95,2.85,2.85,43600
25-Oct-16,2.9,2.9,2.8,2.8,42100
26-Oct-16,2.85,2.85,2.75,2.8,76300
27-Oct-16,2.85,2.85,2.6,2.7,233200
28-Oct-16,2.65,2.75,2.6,2.65,79100
31-Oct-16,2.65,2.75,2.65,2.75,41900
01-Nov-16,2.75,2.75,2.65,2.65,32100
02-Nov-16,2.65,2.75,2.61,2.75,105900
03-Nov-16,2.7,2.75,2.65,2.65,39700
04-Nov-16,2.75,2.9,2.7,2.75,223500
07-Nov-16,2.8,2.8,2.65,2.7,48100
08-Nov-16,2.7,2.8,2.67,2.8,44700
09-Nov-16,2.75,2.85,2.7,2.8,74500
10-Nov-16,2.8,2.9,2.7,2.9,182000
11-Nov-16,2.9,3.05,2.85,2.9,218600
14-Nov-16,2.95,3.15,2.91,3.1,318800
15-Nov-16,3.15,3.2,3.05,3.1,318800
16-Nov-16,3.1,3.1,3.0,3.1,115000
17-Nov-16,3.1,3.2,3.05,3.15,249800
18-Nov-16,3.2,3.2,3.05,3.15,208500
21-Nov-16,3.1,3.15,3.05,3.05,76400
22-Nov-16,3.05,3.15,3.05,3.1,124600
23-Nov-16,3.1,3.45,3.05,3.45,785300
25-Nov-16,3.45,3.8,3.45,3.8,618500
28-Nov-16,3.8,4.1,3.75,3.8,790300
29-Nov-16,3.8,4.15,3.65,4.15,850400
30-Nov-16,4.15,4.25,4.15,4.15,582300
01-Dec-16,4.2,4.2,3.89,4.05,534600
02-Dec-16,4.0,4.5,4.0,4.45,1085400
05-Dec-16,4.45,4.8,4.45,4.7,1077300
06-Dec-16,4.75,4.78,4.2,4.5,726300
07-Dec-16,4.5,4.75,4.45,4.65,564900
08-Dec-16,4.7,4.85,4.66,4.75,533400
09-Dec-16,4.75,4.85,4.25,4.45,702600
12-Dec-16,4.4,4.45,4.3,4.4,433200
13-Dec-16,4.4,4.55,4.3,4.5,311700
14-Dec-16,4.55,4.75,4.35,4.4,595200
15-Dec-16,4.45,4.55,4.05,4.55,456100
16-Dec-16,4.55,4.6,4.25,4.4,368500
19-Dec-16,4.35,4.75,4.25,4.55,474400
20-Dec-16,4.6,4.6,4.45,4.55,129900
21-Dec-16,4.5,4.55,4.15,4.45,398400
22-Dec-16,4.45,4.5,4.25,4.3,184300
23-Dec-16,4.25,4.85,4.22,4.8,820600
27-Dec-16,4.95,5.2,4.7,4.85,1368500
28-Dec-16,4.95,5.25,4.85,5.1,1281400
29-Dec-16,5.15,5.4,4.8,4.9,1153200
30-Dec-16,4.95,5.28,4.95,5.1,576700
03-Jan-17,5.4,5.65,5.18,5.65,1602300
04-Jan-17,5.75,5.9,5.45,5.55,1171100
05-Jan-17,5.55,5.75,5.45,5.7,737300
06-Jan-17,5.8,5.95,5.65,5.75,1014400
09-Jan-17,5.8,5.8,5.0,5.15,1264300
10-Jan-17,5.2,5.75,5.18,5.55,786300
11-Jan-17,5.6,5.7,5.45,5.6,516300
12-Jan-17,5.55,5.65,5.35,5.5,472900
13-Jan-17,5.55,5.75,5.45,5.7,535000
17-Jan-17,5.7,5.85,5.6,5.75,938200
18-Jan-17,5.8,5.85,5.6,5.6,476800
19-Jan-17,5.65,5.75,5.6,5.7,401600
20-Jan-17,5.7,5.75,5.6,5.7,476800
23-Jan-17,5.7,6.2,5.7,6.1,1727700
24-Jan-17,6.2,6.65,6.2,6.65,1507200
25-Jan-17,6.85,7.1,6.55,6.95,1643900
26-Jan-17,7.15,7.4,6.3,6.45,1924800
27-Jan-17,6.4,6.5,5.85,6.15,940200
30-Jan-17,6.1,6.4,5.7,6.35,1185400
31-Jan-17,6.3,6.35,5.95,6.05,616100
01-Feb-17,5.95,6.3,5.95,6.2,519700
02-Feb-17,6.15,6.2,5.85,6.0,542400
03-Feb-17,5.95,6.45,5.95,6.45,776900
06-Feb-17,6.5,6.8,6.46,6.75,780700
07-Feb-17,6.8,7.05,6.35,6.45,1394200
08-Feb-17,6.4,6.7,6.25,6.7,872100
09-Feb-17,6.75,6.95,6.55,6.85,835100
10-Feb-17,6.95,7.2,6.85,7.05,1099100
13-Feb-17,7.2,7.25,6.6,6.7,1200900
14-Feb-17,6.85,7.1,6.7,7.1,1264100
15-Feb-17,7.1,7.2,6.95,7.05,501200
16-Feb-17,7.1,7.15,6.7,7.0,737600
17-Feb-17,7.0,7.15,6.75,7.0,1018200
21-Feb-17,7.1,7.5,6.92,7.45,1685600
22-Feb-17,7.5,7.75,7.2,7.6,1770300
23-Feb-17,7.7,7.7,7.1,7.4,2077600
24-Feb-17,7.3,7.4,7.05,7.35,866500
27-Feb-17,7.3,7.85,7.25,7.85,1450700
28-Feb-17,7.75,7.85,7.15,7.25,1432900
01-Mar-17,7.45,7.9,7.45,7.85,1337000
02-Mar-17,7.9,7.9,7.4,7.5,1767100
03-Mar-17,7.5,7.9,7.45,7.85,1144700
06-Mar-17,7.8,7.9,7.55,7.7,1342100
07-Mar-17,7.7,8.0,7.6,8.0,1147200
08-Mar-17,8.0,8.5,7.95,8.3,2259800
09-Mar-17,8.4,8.65,8.06,8.3,2142500
10-Mar-17,8.5,8.55,8.25,8.35,775500
13-Mar-17,8.35,8.4,7.8,8.05,1221400
14-Mar-17,8.05,8.1,6.9,7.05,2074400
15-Mar-17,7.0,7.05,5.6,6.0,3794200
16-Mar-17,5.7,6.55,5.63,6.3,2440900
17-Mar-17,6.1,6.4,5.9,6.05,1742700
20-Mar-17,6.0,6.05,5.65,5.75,1361500
21-Mar-17,5.7,5.88,5.65,5.7,980400
22-Mar-17,5.6,5.8,5.4,5.7,1049400
23-Mar-17,5.65,5.8,5.5,5.7,555200
24-Mar-17,5.7,5.8,5.5,5.55,451100
27-Mar-17,5.4,5.85,5.15,5.75,873700
